location,size,total_sqft,bath,price,Place,bhk
"Bank Apartments, Aashirwaad Chowk, Dwarka carpet area 1550 sqft status Ready to Move floor 7 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road society Bank Apartments car parking 1 Covered, 1 Open bathroom 2 balcony 3 ownership Freehold A spacious 3 Bedroom flat is available for sale in Dwarka , New Delhi.it is cornor building plenty of sunlight and airy. It is located on the 2 Floor. It has a covered area of 1500 Sq-ft. The flat has vitrified tiles & Mosiac flooring. The flat has 24 Hours Available water supply and No/Rare Powercut.. The property is fantastically located and is much sought-after. The property is available at a very competitive Price. read more Contact Agent View Phone No. Share Feedback Sikka Realtors Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users CRISIL Rating No of employees 12 Sikka Realtors Certified Agent Locality Superstar Aashirwaad Chowk, Dwarka 2500+ Buyers Served",3 bhk,1550,2,158,Delhi,3
"Mohinder Apartments, Aashirwaad Chowk, Dwarka",4 bhk,2000,3,315,Delhi,4
"Bank Apartments, Aashirwaad Chowk, Dwarka",3 bhk,1500,3,140,Delhi,3
"Aashirwaad Chowk, Dwarka",3 bhk,1550,2,132,Delhi,3
"Bank Apartments, Aashirwaad Chowk, Dwarka",3 bhk,1600,2,158,Delhi,3
"Saheta Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1600,3,162,Delhi,3
"Pushpanjali Apartments, Aashirwaad Chowk, Dwarka",3 bhk,1800,2,155,Delhi,3
"Aashirwaad Chowk, Dwarka",3 bhk,1470,2,145,Delhi,3
"Aashirwaad Chowk, Dwarka",3 bhk,1500,2,149,Delhi,3
"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1750,3,172,Delhi,3
"Hum Sub Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1650,3,180,Delhi,3
"Aashirwaad Chowk, Dwarka",3 bhk,1850,2,155,Delhi,3
"Bank Apartments, Aashirwaad Chowk, Dwarka",3 bhk,1480,2,158,Delhi,3
"Defence Officers Apartment, Aashirwaad Chowk, Dwarka",2 bhk,1214,2,126,Delhi,2
"Aashirwaad Chowk, Dwarka",3 bhk,1380,2,150,Delhi,3
"Sanchar Vihar Apartment, Aashirwaad Chowk, Dwarka",4 bhk,1600,2,195,Delhi,4
"Sarve Satyam Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1585,3,166,Delhi,3
"Aashirwaad Chowk, Dwarka",3 bhk,1700,3,172,Delhi,3
"Palm Green Apartment, Aashirwaad Chowk, Dwarka",2 bhk,1200,2,130,Delhi,2
"Neelachal, Aashirwaad Chowk, Dwarka",4 bhk,1800,3,165,Delhi,4
"Kailash Apartments, Aashirwaad Chowk, Dwarka",2 bhk,1000,2,107,Delhi,2
"New Jyoti Apartments, Aashirwaad Chowk, Dwarka",3 bhk,1500,2,162,Delhi,3
"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1700,2,165,Delhi,3
"PNB Employees Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1750,2,149,Delhi,3
"Sadbhawna CGHS, Aashirwaad Chowk, Dwarka",4 bhk,2700,3,275,Delhi,4
Commonwealth Games Village 2010,5 bhk,3050,6,625,Delhi,5
"Common Wealth Games Village, Commonwealth Games Village 2010",5 bhk,3405,5,700,Delhi,5
Commonwealth Games Village 2010,3 bhk,1500,3,355,Delhi,3
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2105,3,421,Delhi,3
"Project Commonwealth Games Village 2010, Akshardham Temple",4 bhk,2500,5,425,Delhi,4
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2090,4,440,Delhi,3
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",4 bhk,2525,5,432,Delhi,4
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",4 bhk,2500,4,525,Delhi,4
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2100,4,343,Delhi,3
"Project Commonwealth Games Village 2010, Akshardham Temple",3 bhk,2022,3,380,Delhi,3
Commonwealth Games Village 2010,4 bhk,2650,5,525,Delhi,4
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,1850,3,375,Delhi,3
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2100,3,370,Delhi,3
Commonwealth Games Village 2010,3 bhk,1700,4,400,Delhi,3
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2105,3,362,Delhi,3
"Common Wealth Games Village, Commonwealth Games Village 2010",2 bhk,1250,3,290,Delhi,2
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",4 bhk,2552,5,425,Delhi,4
Commonwealth Games Village 2010,5 bhk,3112,6,600,Delhi,5
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",3 bhk,2125,3,365,Delhi,3
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2065,4,425,Delhi,3
"Common Wealth Games Village, Commonwealth Games Village 2010",5 bhk,3405,4,715,Delhi,5
"Common Wealth Games Village, Commonwealth Games Village 2010",5 bhk,3050,5,650,Delhi,5
"Common Wealth Games Village, Commonwealth Games Village 2010",5 bhk,2300,6,580,Delhi,5
Commonwealth Games Village 2010,2 bhk,1455,2,275,Delhi,2
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",5 bhk,3400,5,700,Delhi,5
"Common Wealth Games Village, Commonwealth Games Village 2010",5 bhk,3100,5,650,Delhi,5
"Common Wealth Games Village, Commonwealth Games Village 2010",2 bhk,1400,3,286,Delhi,2
"Common Wealth Games Village, Commonwealth Games Village 2010",3 bhk,2126,3,390,Delhi,3
Commonwealth Games Village 2010,3 bhk,1815,3,325,Delhi,3
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",3 bhk,1700,3,340,Delhi,3
Alaknanda,2 bhk,700,2,165,Delhi,2
"Shivalik Apartments, Alaknanda",2 bhk,980,2,138,Delhi,2
"Narmada Apartment, Alaknanda",3 bhk,1350,3,210,Delhi,3
"Gangotri Enclave, Alaknanda",3 bhk,1800,3,225,Delhi,3
"Aravali Apartments, Alaknanda",2 bhk,968.751,2,150,Delhi,2
"Narmada Apartment, Alaknanda",3 bhk,1250,3,200,Delhi,3
"Aravali Apartments, Alaknanda",3 bhk,1800,3,200,Delhi,3
"Shivalik Apartments, Alaknanda",3 bhk,1400,2,260,Delhi,3
"Narmada Apartment, Alaknanda",3 bhk,1000,3,195,Delhi,3
"Tara Apartment, Alaknanda",4 bhk,1800,2,215,Delhi,4
Alaknanda,3 bhk,1500,3,265,Delhi,3
"Narmada Apartment, Alaknanda",3 bhk,1600,3,200,Delhi,3
"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",3 bhk,1400,3,180,Delhi,3
Alaknanda,3 bhk,1400,2,190,Delhi,3
Greater Kailash 4 Nri Colony,4 bhk,2700,4,365,Delhi,4
Alaknanda,2 bhk,1100,2,150,Delhi,2
Alaknanda,2 bhk,1200,2,175,Delhi,2
Alaknanda,2 bhk,1400,2,140,Delhi,2
"Project Gangotri Enclave, Alaknanda",3 bhk,1500,3,210,Delhi,3
Alaknanda,3 bhk,1320,2,156,Delhi,3
"Project Gangotri Enclave, Gangotri Enclave, Alaknanda",3 bhk,1300,3,190,Delhi,3
"Narmada Apartment, Alaknanda",2 bhk,1150,2,165,Delhi,2
Alaknanda,3 bhk,1440,3,190,Delhi,3
"Nilgiri Apartment, Alaknanda",2 bhk,1400,2,165,Delhi,2
Alaknanda,1 bhk,450,1,30,Delhi,1
"Yamuna Apartment, Alaknanda",2 bhk,1300,2,150,Delhi,2
"Nilgiri Apartment, Alaknanda",2 bhk,1200,2,143,Delhi,2
"Nilgiri Apartment, Alaknanda",3 bhk,1300,2,185,Delhi,3
"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",3 bhk,1400,3,190,Delhi,3
Alaknanda,3 bhk,1400,3,190,Delhi,3
"Sarita Vihar, Mathura Road carpet area 1500 sqft status Ready to Move floor 2 out of 4 floors transaction Resale ownership Freehold overlooking Main Road car parking 1 Open bathroom 2 balcony 2 furnishing Unfurnished For sale second third duplex .spacious 3 bedrooms with 2 washrooms drawing and dining and moduler kitchen one scooter garrage. read more Contact Agent View Phone No. Share Feedback Shree Balaji Real Estate Pvt. Ltd. Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 21 Property Options in Sarita Vihar, Mathura Road Shree Balaji Real Estate Pvt. Ltd. Certified Agent Locality Superstar Maximum options in Sarita Vihar, Mathura Road",3 bhk,1500,2,135,Delhi,3
"DDA Flats, Sarita Vihar, Mathura Road carpet area 1600 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Main Road society DDA Flats car parking 2 Open bathroom 2 balcony 2 ownership Freehold For sale First second third duplex in sarita vihar DDA Flates . this house free hold property clear titel . this flate well maintained and spacious peacefull location . no issue light water and parking read more Contact Agent View Phone No. Share Feedback Shree Balaji Real Estate Pvt. Ltd. Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 21 Property Options in Sarita Vihar, Mathura Road Shree Balaji Real Estate Pvt. Ltd. Certified Agent Locality Superstar Maximum options in Sarita Vihar, Mathura Road",4 bhk,1600,2,158,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",10 bhk,1200,4,170,Delhi,10
"DDA Flats, Sarita Vihar, Mathura Road carpet area 1600 sqft status Ready to Move floor Ground out of 4 floors transaction Resale furnishing Semi-Furnished facing North - West overlooking Main Road society DDA Flats car parking 1 Open bathroom 2 balcony 2 ownership Freehold For slae Ground First Duplex in sarita vihar .posh locality in south delhi DDa coloney . This house spacious 4 bedrooms with 2 washrooms drawing and dinning . free hold proerty clear titel . near by all amnites . well develop location . read more Contact Agent View Phone No. Share Feedback Shree Balaji Real Estate Pvt. Ltd. Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 21 Property Options in Sarita Vihar, Mathura Road Shree Balaji Real Estate Pvt. Ltd. Certified Agent Locality Superstar Maximum options in Sarita Vihar, Mathura Road",4 bhk,1600,2,155,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",3 bhk,1250,2,160,Delhi,3
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,950,2,129,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",3 bhk,1200,3,135,Delhi,3
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",4 bhk,1400,2,178,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,950,2,132,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",3 bhk,1350,3,140,Delhi,3
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",4 bhk,1550,2,175,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",3 bhk,1300,2,170,Delhi,3
"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",2 bhk,1000,2,130,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",3 bhk,1500,3,170,Delhi,3
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,950,2,127,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",3 bhk,1200,2,135,Delhi,3
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",4 bhk,1400,2,174,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",4 bhk,1500,2,178,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,1050,2,127,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",4 bhk,1550,2,162,Delhi,4
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,950,2,111,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,1150,2,136,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",2 bhk,1150,2,131,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2 bhk,1150,2,125,Delhi,2
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",3 bhk,1500,2,136,Delhi,3
"Sidharth Enclave, Kilokri, Ring Road",4 bhk,1800,4,120,Delhi,4
"Sidharth Enclave, Kilokri, Ring Road",3 bhk,1300,3,200,Delhi,3
Sarita Vihar Pocket B,2 bhk,1150,2,135,Delhi,2
Sarita Vihar Pocket F,3 bhk,1500,2,140,Delhi,3
"DDA Flats, Sarita Vihar, Mathura Road carpet area 1150 sqft status Ready to Move floor 3 out of 3 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Main Road society DDA Flats car parking 2 Open bathroom 2 balcony 3 ownership Freehold 2 BHK flat available for sale in sarita vihar excellent interiors flooring in all bedrooms complete wood work modular kitchen beautiful bathrooms extremely well maintained ample parking space read more Contact Agent View Phone No. Share Feedback Lavish Associates Certified Agent Trusted by Users Genuine Listings Market Knowledge",2 bhk,1150,2,108,Delhi,2
"New Manglapuri, Sultanpur",3 bhk,900,2,90,Delhi,3
"New Manglapuri, Sultanpur",3 bhk,1150,2,63,Delhi,3
Sultanpur Extension,3 bhk,1000,3,55,Delhi,3
"New Manglapuri, Sultanpur",1 bhk,450,1,23.5,Delhi,1
Sultanpur,3 bhk,1350,3,85,Delhi,3
Sultanpur Extension,1 bhk,445,2,16.5,Delhi,1
"Manglapuri, Sultanpur",2 bhk,1200,2,100,Delhi,2
"Indra Park Palam, Manglapuri",1 bhk,50,1,15,Delhi,1
"Sultanpur carpet area 1100 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Semi-Furnished overlooking Main Road car parking 1 Covered bathroom 2 balcony 2 ownership Freehold 2 bhk flat available in sultanpur, near metro station, loan facility available, with registry, all the modern facilities are variable, with car parking, near market, fully ventilated. read more Contact Agent View Phone No. Share Feedback Agent Delhi Dream 3500+ Buyers Served",2 bhk,1100,2,28,Delhi,2
Sultanpur Extension,2 bhk,700,2,26,Delhi,2
"New Manglapuri, Sultanpur",1 bhk,500,1,23.5,Delhi,1
Sultanpur Extension,1 bhk,540,1,23.5,Delhi,1
Sultanpur,1 bhk,450,1,20,Delhi,1
Sultanpur,2 bhk,800,2,50,Delhi,2
"New Manglapuri, Sultanpur",2 bhk,700,2,35,Delhi,2
Sultanpur,2 bhk,750,2,45,Delhi,2
Sultanpur,2 bhk,750,2,40,Delhi,2
"New Manglapuri, Sultanpur",3 bhk,1600,3,108,Delhi,3
"New Manglapuri, Sultanpur",3 bhk,1000,2,100,Delhi,3
"New Manglapuri, Sultanpur",3 bhk,1600,3,108,Delhi,3
"Manglapuri, Sultanpur",3 bhk,900,2,90,Delhi,3
"New Manglapuri, Sultanpur",3 bhk,1700,3,85,Delhi,3
"New Manglapuri, Sultanpur",3 bhk,1100,2,60,Delhi,3
"New Manglapuri, Sultanpur",3 bhk,1000,3,55,Delhi,3
"Manglapuri, Sultanpur",3 bhk,1000,2,70,Delhi,3
Sultanpur,3 bhk,1100,2,60,Delhi,3
"Manglapuri, Sultanpur",3 bhk,765,2,37,Delhi,3
"Indra Park Palam, Manglapuri",2 bhk,900,2,31,Delhi,2
Sultanpur,2 bhk,600,2,45,Delhi,2
"Indra Park Palam, Manglapuri",1 bhk,360,1,15,Delhi,1
Chhattarpur,3 bhk,950,2,70.9,Delhi,3
"Chhattarpur carpet area 400 sqyrd status Ready to Move transaction New Property furnishing Semi-Furnished car parking 1 Covered, 1 Open bathroom 2 balcony 1 Newly Constructed Property It's a Ground floor Builder Floor Apartment in a building of total 4 floors. The Builder Floor Apartment is newly constructed. Prime facilities are easily accessible from this place with Oxford Angel Public School (0 km ). Other key neighbourhood are Abdul Gaffar Khan Market (0 km ). read more Contact Agent View Phone No. Share Feedback Home Hunt Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 4 Property Options in Chhattarpur CRISIL Rating Operating Since 2011 No of employees 5 Home Hunt Certified Agent Locality Superstar Chhattarpur 500+ Buyers Served",2 bhk,3600,2,45,Delhi,2
"JVTS Gardens, Chhattarpur",4 bhk,1305,3,55,Delhi,4
Chhattarpur,3 bhk,1800,4,630,Delhi,3
Chhattarpur,3 bhk,950,2,69.9,Delhi,3
Chhattarpur,2 bhk,800,2,44,Delhi,2
Chhattarpur Enclave Phase2,4 bhk,1800,4,125,Delhi,4
Chhattarpur,2 bhk,800,2,30,Delhi,2
Chhattarpur,2 bhk,675,2,28,Delhi,2
"JVTS Gardens, Chhattarpur",3 bhk,1175,3,50,Delhi,3
Chhattarpur,3 bhk,1500,3,60,Delhi,3
Chhattarpur,2 bhk,810,2,45,Delhi,2
Chhattarpur Enclave Phase2,2 bhk,630,2,28,Delhi,2
Chhattarpur,2 bhk,650,2,25,Delhi,2
Chhattarpur Enclave Phase2,4 bhk,1800,4,85,Delhi,4
Chhattarpur,2 bhk,725,2,30,Delhi,2
Chhattarpur,3 bhk,900,2,49,Delhi,3
Chhattarpur,2 bhk,750,2,35,Delhi,2
Chhattarpur Enclave Phase2,2 bhk,700,2,30,Delhi,2
Chhattarpur,3 bhk,950,2,70.2,Delhi,3
"DLF Chattarpur Farms, Chhattarpur",3 bhk,1600,4,600,Delhi,3
Chhattarpur,2 bhk,900,2,35,Delhi,2
Chhattarpur,3 bhk,1500,3,70,Delhi,3
Chhattarpur Enclave Phase2,2 bhk,500,1,70,Delhi,2
Chhattarpur Enclave Phase2,3 bhk,1035,3,45,Delhi,3
"Aravali Tower, Chhattarpur",3 bhk,825,2,59.9,Delhi,3
Chhattarpur,3 bhk,1300,3,44,Delhi,3
Chhattarpur,2 bhk,765,2,25,Delhi,2
Chhattarpur Enclave Phase2,1 bhk,580,1,16,Delhi,1
Chhattarpur Enclave Phase2,3 bhk,1750,3,65,Delhi,3
Mehrauli,2 bhk,650,2,27.5,Delhi,2
Mehrauli,1 bhk,405,1,15,Delhi,1
Mehrauli,2 bhk,675,1,22,Delhi,2
Mehrauli,2 bhk,850,2,28,Delhi,2
Mehrauli,3 bhk,800,3,45,Delhi,3
Mehrauli,1 bhk,405,1,18,Delhi,1
Mehrauli,3 bhk,1350,3,85,Delhi,3
Mehrauli,3 bhk,1350,3,85,Delhi,3
Mehrauli,1 bhk,450,1,17,Delhi,1
"Mehrauli carpet area 1300 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 2 Covered bathroom 3 balcony 2 ownership Freehold 3 bhk flat with attached washroom, modular kitchen, IInd floor, one car and one bike parking, lift, gated society, security, cctv camera, water backup. read more Contact Agent View Phone No. Share Feedback Agent India Bhoomi",3 bhk,1300,3,70,Delhi,3
Mehrauli,3 bhk,1050,2,56,Delhi,3
Mehrauli,4 bhk,1675,3,135,Delhi,4
Mehrauli,3 bhk,1250,3,85,Delhi,3
Mehrauli,3 bhk,1080,3,60,Delhi,3
"Andheria Mor, Mehrauli",3 bhk,1170,3,72,Delhi,3
Mehrauli carpet area 1250 sqft status Ready to Move floor Ground out of 8 floors transaction Resale furnishing Semi-Furnished facing East overlooking Main Road car parking 1 Covered bathroom 2 balcony 3 ownership Freehold The flat located are very good condition and well developed area. The flat area are very spaciable. This flat balcony view is very best society very neat and clean. read more Contact Agent View Phone No. Share Feedback Agent Bharti Real Estate 100+ Buyers Served,3 bhk,1250,2,65,Delhi,3
"Andheria Mor, Mehrauli",3 bhk,1500,3,84,Delhi,3
Mehrauli,3 bhk,1350,3,85,Delhi,3
Mehrauli,2 bhk,855,2,40,Delhi,2
Mehrauli,1 bhk,540,1,17,Delhi,1
Mehrauli,3 bhk,1044.0983,2,60,Delhi,3
Mehrauli,1 bhk,405,1,16,Delhi,1
Mehrauli,1 bhk,500,2,21,Delhi,1
Mehrauli,1 bhk,450,1,17,Delhi,1
"Andheria Mor, Mehrauli",1 bhk,405,1,15,Delhi,1
Mehrauli,1 bhk,405,1,12,Delhi,1
"Brijwasi Colony, Mehrauli",1 bhk,450,1,16.5,Delhi,1
Mehrauli,2 bhk,173,2,35,Delhi,2
Mehrauli,3 bhk,1100,2,85,Delhi,3
Mehrauli,2 bhk,600,2,32,Delhi,2
Mahavir Enclave,3 bhk,800,2,44,Delhi,3
Mahavir Enclave Part 1,4 bhk,990,3,72,Delhi,4
Mahavir Enclave Part 1,3 bhk,1100,2,75,Delhi,3
Mahavir Enclave,3 bhk,1100,2,65,Delhi,3
Mahavir Enclave Part 1,2 bhk,527,2,35,Delhi,2
Mahavir Enclave Part 1 carpet area 1000 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Semi-Furnished facing East car parking 1 Covered bathroom 2 balcony 2 East Facing Property this property is for sale purpose.......................... Contact Owner View Phone No. Share Feedback Owner Twinkle Sudan,2 bhk,1000,2,65,Delhi,2
Mahavir Enclave Part 1,3 bhk,1000,2,62,Delhi,3
Mahavir Enclave Part 1,1 bhk,450,1,25,Delhi,1
Mahavir Enclave,2 bhk,600,2,30,Delhi,2
Mahavir Enclave Part 1,3 bhk,950,2,60,Delhi,3
Mahavir Enclave Part 1,3 bhk,855,2,48,Delhi,3
Mahavir Enclave,2 bhk,770,2,37.9,Delhi,2
Mahavir Enclave,3 bhk,810,2,42,Delhi,3
Mahavir Enclave,2 bhk,710,2,29,Delhi,2
Mahavir Enclave Part 1,3 bhk,950,2,50,Delhi,3
Mahavir Enclave Part 1,1 bhk,450,1,21,Delhi,1
Mahavir Enclave Part 1,2 bhk,500,2,32,Delhi,2
Mahavir Enclave Part 1,2 bhk,600,1,30,Delhi,2
Mahavir Enclave Part 1,1 bhk,420,1,23,Delhi,1
Mahavir Enclave Part 1,3 bhk,900,2,59,Delhi,3
Mahavir Enclave Part 1,3 bhk,945,2,55,Delhi,3
Mahavir Enclave carpet area 565 sqft status Ready to Move floor Ground out of 1 floor transaction Resale furnishing Unfurnished facing East car parking 1 Covered bathroom 2 balcony 1 ownership Freehold East Facing Property This Freehold Builder Floor Apartment is located at Ground floor in a building of total 1 floors. The age of construction for this apartment Builder Floor Apartment is Less than 5 years. High quality flooring of types Granite are available in different rooms. read more Contact Owner View Phone No. Share Feedback Owner Adesh Sah,2 bhk,565,2,35,Delhi,2
Mahavir Enclave Part 3,2 bhk,450,1,17,Delhi,2
Mahavir Enclave,1 bhk,430,1,18.5,Delhi,1
Mahavir Enclave,2 bhk,550,2,23,Delhi,2
Mahavir Enclave,3 bhk,810,2,38,Delhi,3
Mahavir Enclave Part 1,3 bhk,720,2,45,Delhi,3
"Vijay Enclave, Mahavir Enclave",2 bhk,360,1,22,Delhi,2
Mahavir Enclave,3 bhk,820,2,52,Delhi,3
Mahavir Enclave Part 3,2 bhk,459,2,22,Delhi,2
"Narela Sector A1 carpet area 42 sqyrd status Ready to Move floor Ground out of 5 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 2 Open bathroom 2 balcony 2 ownership Freehold Near bawana industrial area and j.j. colony. DDA Housing property LIG FLAT very nice property for single family 200 hundreds family already living IN THIS SOCIETY and very piece full atmosphere this society 24 hour guards all facility available read more Contact Owner View Phone No. Share Feedback Owner Vivek Gupta",1 bhk,378,2,15,Delhi,1
"DDA Flats Pocket 6 Sector A10, Narela",1 bhk,450,1,22,Delhi,1
"DDA Flats Pocket 1 Sector A9, Narela",2 bhk,900,2,38,Delhi,2
"DDA Janta Flats, Tikri Khurd Sector B2, Narela",1 bhk,360,1,18,Delhi,1
Narela,2 bhk,559.7228,2,28.5,Delhi,2
Narela,1 bhk,350,1,25,Delhi,1
Narela,1 bhk,365,1,35,Delhi,1
"DDA Lig Flats, Narela",1 bhk,390,1,20,Delhi,1
"DDA Flats Pocket 3, Narela",1 bhk,350,1,30,Delhi,1
"DDA Lig Flats, Narela",1 bhk,210,1,20,Delhi,1
"DDA Lig Flats, Narela",1 bhk,50,1,35,Delhi,1
"DDA Pocket H, Narela",1 bhk,500,1,18,Delhi,1
"DDA Lig Flats, Narela",1 bhk,350,1,16,Delhi,1
"DDA Lig Flats, Narela",1 bhk,379,1,16,Delhi,1
Narela,1 bhk,236.8058,1,20,Delhi,1
Narela Mandi,1 bhk,445,1,15,Delhi,1
"DDA Flats Pocket 6 Sector A10, Narela",2 bhk,452.0838,1,30,Delhi,2
Narela,1 bhk,350,1,14.9,Delhi,1
"DDA Lig Flats, Narela",1 bhk,437,1,35,Delhi,1
"Bhorgarh, Narela",3 bhk,61,3,40,Delhi,3
Narela,2 bhk,495,2,17.5,Delhi,2
Narela Sector A9,2 bhk,900,2,46,Delhi,2
"DDA Lig Flats, Narela",1 bhk,350,1,18,Delhi,1
Narela,2 bhk,585,2,19,Delhi,2
Narela Sector A5,1 bhk,198,1,10,Delhi,1
"DDA Lig Flats, Narela",1 bhk,4900,1,10,Delhi,1
"DDA Flats Pocket 3, Narela",1 bhk,2077.4327,1,10,Delhi,1
"DDA Lig Flats, Narela",1 bhk,50,1,35,Delhi,1
Narela,3 bhk,990,2,50,Delhi,3
Narela,1 bhk,425,1,22,Delhi,1
Malviya Nagar,2 bhk,750,2,130,Delhi,2
"Shivalik, Malviya Nagar",3 bhk,1400,3,340,Delhi,3
"Geetanjali Enclave, Malviya Nagar",4 bhk,3600,4,600,Delhi,4
"Geetanjali Enclave, Malviya Nagar",4 bhk,3000,5,745,Delhi,4
"Geetanjali Enclave, Malviya Nagar",4 bhk,2750,5,750,Delhi,4
"Geetanjali Enclave, Malviya Nagar",4 bhk,2050,4,625,Delhi,4
"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",4 bhk,3000,4,670,Delhi,4
Malviya Nagar,2 bhk,850,2,85,Delhi,2
Malviya Nagar,2 bhk,750,2,115,Delhi,2
"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",4 bhk,2600,5,525,Delhi,4
Malviya Nagar,2 bhk,800,2,120,Delhi,2
Malviya Nagar,2 bhk,550,2,107,Delhi,2
Malviya Nagar,2 bhk,700,2,90,Delhi,2
"Geetanjali Enclave, Malviya Nagar",3 bhk,2316,4,1000,Delhi,3
"Khirki extension, Malviya Nagar",3 bhk,900,2,62,Delhi,3
Malviya Nagar,3 bhk,100,2,170,Delhi,3
