location,size,total_sqft,bath,price,Place,bhk
Lajpat Nagar 3,3 bhk,1350,3,210,Delhi,3
Lajpat Nagar 3,3 bhk,1700,3,275,Delhi,3
Lajpat Nagar 3,3 bhk,1400,3,325,Delhi,3
Lajpat Nagar 3,3 bhk,1450,3,450,Delhi,3
Lajpat Nagar 3,3 bhk,1350,3,210,Delhi,3
Lajpat Nagar 3,3 bhk,1700,3,280,Delhi,3
Lajpat Nagar 3,3 bhk,1600,3,295,Delhi,3
Lajpat Nagar 2,1 bhk,1500,,135,Delhi,1
Lajpat Nagar 2,2 bhk,800,2,140,Delhi,2
Lajpat Nagar 2,3 bhk,1710,3,260,Delhi,3
Lajpat Nagar 2,2 bhk,1350,2,125,Delhi,2
Lajpat Nagar 2,3 bhk,1500,3,260,Delhi,3
"Vinoba Puri, Lajpat Nagar",2 bhk,750,2,115,Delhi,2
Lajpat Nagar 2,2 bhk,850,2,146,Delhi,2
Lajpat Nagar 2,3 bhk,1575,3,255,Delhi,3
Lajpat Nagar 2,3 bhk,1675,3,310,Delhi,3
Lajpat Nagar 2,3 bhk,1350,3,220,Delhi,3
Lajpat Nagar 2,2 bhk,900,2,134,Delhi,2
Lajpat Nagar 2,3 bhk,1800,3,350,Delhi,3
Lajpat Nagar 2,2 bhk,900,2,110,Delhi,2
"Vinoba Puri, Lajpat Nagar",2 bhk,900,2,63,Delhi,2
Lajpat Nagar 2,2 bhk,900,2,125,Delhi,2
Lajpat Nagar 2,2 bhk,800,2,145,Delhi,2
Lajpat Nagar 2,2 bhk,1100,3,225,Delhi,2
Lajpat Nagar 2,2 bhk,810,2,155,Delhi,2
Lajpat Nagar 2,3 bhk,1500,3,260,Delhi,3
Lajpat Nagar 2,2 bhk,900,2,158,Delhi,2
Lajpat Nagar 2,2 bhk,825,2,150,Delhi,2
Lajpat Nagar 2,2 bhk,900,2,130,Delhi,2
Lajpat Nagar 2,2 bhk,875,2,150,Delhi,2
Lajpat Nagar 2,3 bhk,1350,3,250,Delhi,3
Lajpat Nagar 2,2 bhk,750,2,165,Delhi,2
Lajpat Nagar 2,2 bhk,900,2,103,Delhi,2
Lajpat Nagar 2,3 bhk,1350,3,260,Delhi,3
Lajpat Nagar 2,2 bhk,900,2,110,Delhi,2
Lajpat Nagar 2,3 bhk,1800,3,285,Delhi,3
Lajpat Nagar 2,2 bhk,900,2,110,Delhi,2
Budh Vihar,2 bhk,900,1,110,Delhi,2
Budh Vihar,3 bhk,810,2,45,Delhi,3
